task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,extended_imf,galpy_potential,M_vir,c_halo
133,10000000.0,4168693.834703355,-1.7,26.25,3000,133,True,True,True,1000000000.0,17
134,10000000.0,4168693.834703355,-1.7,26.25,3000,134,True,True,True,1000000000.0,17
135,10000000.0,4168693.834703355,-1.7,26.25,3000,135,True,True,True,1000000000.0,17
136,10000000.0,4168693.834703355,-1.7,26.25,3000,136,True,True,True,1000000000.0,17
137,10000000.0,4168693.834703355,-1.7,26.25,3000,137,True,True,True,1000000000.0,17
138,10000000.0,4168693.834703355,-1.7,26.25,3000,138,True,True,True,1000000000.0,17
139,10000000.0,4168693.834703355,-1.7,26.25,3000,139,True,True,True,1000000000.0,17
140,10000000.0,4168693.834703355,-1.7,26.25,3000,140,True,True,True,1000000000.0,17
141,10000000.0,4168693.834703355,-1.7,26.25,3000,141,True,True,True,1000000000.0,17
142,10000000.0,4168693.834703355,-1.7,26.25,3000,142,True,True,True,1000000000.0,17
143,10000000.0,4168693.834703355,-1.7,26.25,3000,143,True,True,True,1000000000.0,17
144,10000000.0,4168693.834703355,-1.7,26.25,3000,144,True,True,True,1000000000.0,17
145,10000000.0,4168693.834703355,-1.7,26.25,3000,145,True,True,True,1000000000.0,17
146,10000000.0,4168693.834703355,-1.7,26.25,3000,146,True,True,True,1000000000.0,17
147,10000000.0,4168693.834703355,-1.7,26.25,3000,147,True,True,True,1000000000.0,17
148,10000000.0,4168693.834703355,-1.7,26.25,3000,148,True,True,True,1000000000.0,17
149,10000000.0,4168693.834703355,-1.7,26.25,3000,149,True,True,True,1000000000.0,17
150,10000000.0,4168693.834703355,-1.7,26.25,3000,150,True,True,True,1000000000.0,17
151,10000000.0,4168693.834703355,-1.7,26.25,3000,151,True,True,True,1000000000.0,17
152,10000000.0,4168693.834703355,-1.7,26.25,3000,152,True,True,True,1000000000.0,17
153,10000000.0,4168693.834703355,-1.7,26.25,3000,153,True,True,True,1000000000.0,17
154,10000000.0,4168693.834703355,-1.7,26.25,3000,154,True,True,True,1000000000.0,17
155,10000000.0,4168693.834703355,-1.7,26.25,3000,155,True,True,True,1000000000.0,17
156,10000000.0,4168693.834703355,-1.7,26.25,3000,156,True,True,True,1000000000.0,17
157,10000000.0,4168693.834703355,-1.7,26.25,3000,157,True,True,True,1000000000.0,17
158,10000000.0,4168693.834703355,-1.7,26.25,3000,158,True,True,True,1000000000.0,17
159,10000000.0,4168693.834703355,-1.7,26.25,3000,159,True,True,True,1000000000.0,17
160,10000000.0,4168693.834703355,-1.7,26.25,3000,160,True,True,True,1000000000.0,17
161,10000000.0,4168693.834703355,-1.7,26.25,3000,161,True,True,True,1000000000.0,17
162,10000000.0,4168693.834703355,-1.7,26.25,3000,162,True,True,True,1000000000.0,17
163,10000000.0,4168693.834703355,-1.7,26.25,3000,163,True,True,True,1000000000.0,17
164,10000000.0,4168693.834703355,-1.7,26.25,3000,164,True,True,True,1000000000.0,17
165,10000000.0,4168693.834703355,-1.7,26.25,3000,165,True,True,True,1000000000.0,17
166,10000000.0,4168693.834703355,-1.7,26.25,3000,166,True,True,True,1000000000.0,17
167,10000000.0,4168693.834703355,-1.7,26.25,3000,167,True,True,True,1000000000.0,17
168,10000000.0,4168693.834703355,-1.7,26.25,3000,168,True,True,True,1000000000.0,17
169,10000000.0,4168693.834703355,-1.7,26.25,3000,169,True,True,True,1000000000.0,17
170,10000000.0,4168693.834703355,-1.7,26.25,3000,170,True,True,True,1000000000.0,17
171,10000000.0,4168693.834703355,-1.7,26.25,3000,171,True,True,True,1000000000.0,17
172,10000000.0,4168693.834703355,-1.7,26.25,3000,172,True,True,True,1000000000.0,17
173,10000000.0,4168693.834703355,-1.7,26.25,3000,173,True,True,True,1000000000.0,17
174,10000000.0,4168693.834703355,-1.7,26.25,3000,174,True,True,True,1000000000.0,17
175,10000000.0,4168693.834703355,-1.7,26.25,3000,175,True,True,True,1000000000.0,17
176,10000000.0,4168693.834703355,-1.7,26.25,3000,176,True,True,True,1000000000.0,17
177,10000000.0,4168693.834703355,-1.7,26.25,3000,177,True,True,True,1000000000.0,17
178,10000000.0,4168693.834703355,-1.7,26.25,3000,178,True,True,True,1000000000.0,17
179,10000000.0,4168693.834703355,-1.7,26.25,3000,179,True,True,True,1000000000.0,17
180,10000000.0,4168693.834703355,-1.7,26.25,3000,180,True,True,True,1000000000.0,17
181,10000000.0,4168693.834703355,-1.7,26.25,3000,181,True,True,True,1000000000.0,17
182,10000000.0,4168693.834703355,-1.7,26.25,3000,182,True,True,True,1000000000.0,17
183,10000000.0,4168693.834703355,-1.7,26.25,3000,183,True,True,True,1000000000.0,17
184,10000000.0,4168693.834703355,-1.7,26.25,3000,184,True,True,True,1000000000.0,17
185,10000000.0,4168693.834703355,-1.7,26.25,3000,185,True,True,True,1000000000.0,17
186,10000000.0,4168693.834703355,-1.7,26.25,3000,186,True,True,True,1000000000.0,17
187,10000000.0,4168693.834703355,-1.7,26.25,3000,187,True,True,True,1000000000.0,17
188,10000000.0,4168693.834703355,-1.7,26.25,3000,188,True,True,True,1000000000.0,17
189,10000000.0,4168693.834703355,-1.7,26.25,3000,189,True,True,True,1000000000.0,17
190,10000000.0,4168693.834703355,-1.7,26.25,3000,190,True,True,True,1000000000.0,17
191,10000000.0,4168693.834703355,-1.7,26.25,3000,191,True,True,True,1000000000.0,17
192,10000000.0,4168693.834703355,-1.7,26.25,3000,192,True,True,True,1000000000.0,17
193,10000000.0,4168693.834703355,-1.7,26.25,3000,193,True,True,True,1000000000.0,17
194,10000000.0,4168693.834703355,-1.7,26.25,3000,194,True,True,True,1000000000.0,17
195,10000000.0,4168693.834703355,-1.7,26.25,3000,195,True,True,True,1000000000.0,17
196,10000000.0,4168693.834703355,-1.7,26.25,3000,196,True,True,True,1000000000.0,17
197,10000000.0,4168693.834703355,-1.7,26.25,3000,197,True,True,True,1000000000.0,17
198,10000000.0,4168693.834703355,-1.7,26.25,3000,198,True,True,True,1000000000.0,17
199,10000000.0,4168693.834703355,-1.7,26.25,3000,199,True,True,True,1000000000.0,17
200,10000000.0,4168693.834703355,-1.7,26.25,3000,200,True,True,True,1000000000.0,17
201,10000000.0,4168693.834703355,-1.7,26.25,3000,201,True,True,True,1000000000.0,17
202,10000000.0,4168693.834703355,-1.7,26.25,3000,202,True,True,True,1000000000.0,17
203,10000000.0,4168693.834703355,-1.7,26.25,3000,203,True,True,True,1000000000.0,17
204,10000000.0,4168693.834703355,-1.7,26.25,3000,204,True,True,True,1000000000.0,17
205,10000000.0,4168693.834703355,-1.7,26.25,3000,205,True,True,True,1000000000.0,17
206,10000000.0,4168693.834703355,-1.7,26.25,3000,206,True,True,True,1000000000.0,17
207,10000000.0,4168693.834703355,-1.7,26.25,3000,207,True,True,True,1000000000.0,17
208,10000000.0,4168693.834703355,-1.7,26.25,3000,208,True,True,True,1000000000.0,17
209,10000000.0,4168693.834703355,-1.7,26.25,3000,209,True,True,True,1000000000.0,17
210,10000000.0,4168693.834703355,-1.7,26.25,3000,210,True,True,True,1000000000.0,17
211,10000000.0,4168693.834703355,-1.7,26.25,3000,211,True,True,True,1000000000.0,17
212,10000000.0,4168693.834703355,-1.7,26.25,3000,212,True,True,True,1000000000.0,17
213,10000000.0,4168693.834703355,-1.7,26.25,3000,213,True,True,True,1000000000.0,17
214,10000000.0,4168693.834703355,-1.7,26.25,3000,214,True,True,True,1000000000.0,17
215,10000000.0,4168693.834703355,-1.7,26.25,3000,215,True,True,True,1000000000.0,17
216,10000000.0,4168693.834703355,-1.7,26.25,3000,216,True,True,True,1000000000.0,17
217,10000000.0,4168693.834703355,-1.7,26.25,3000,217,True,True,True,1000000000.0,17
218,10000000.0,4168693.834703355,-1.7,26.25,3000,218,True,True,True,1000000000.0,17
219,10000000.0,4168693.834703355,-1.7,26.25,3000,219,True,True,True,1000000000.0,17
220,10000000.0,4168693.834703355,-1.7,26.25,3000,220,True,True,True,1000000000.0,17
221,10000000.0,4168693.834703355,-1.7,26.25,3000,221,True,True,True,1000000000.0,17
222,10000000.0,4168693.834703355,-1.7,26.25,3000,222,True,True,True,1000000000.0,17
223,10000000.0,4168693.834703355,-1.7,26.25,3000,223,True,True,True,1000000000.0,17
224,10000000.0,4168693.834703355,-1.7,26.25,3000,224,True,True,True,1000000000.0,17
225,10000000.0,4168693.834703355,-1.7,26.25,3000,225,True,True,True,1000000000.0,17
226,10000000.0,4168693.834703355,-1.7,26.25,3000,226,True,True,True,1000000000.0,17
227,10000000.0,4168693.834703355,-1.7,26.25,3000,227,True,True,True,1000000000.0,17
228,10000000.0,4168693.834703355,-1.7,26.25,3000,228,True,True,True,1000000000.0,17
229,10000000.0,4168693.834703355,-1.7,26.25,3000,229,True,True,True,1000000000.0,17
230,10000000.0,4168693.834703355,-1.7,26.25,3000,230,True,True,True,1000000000.0,17
231,10000000.0,4168693.834703355,-1.7,26.25,3000,231,True,True,True,1000000000.0,17
232,10000000.0,4168693.834703355,-1.7,26.25,3000,232,True,True,True,1000000000.0,17
233,10000000.0,4168693.834703355,-1.7,26.25,3000,233,True,True,True,1000000000.0,17
234,10000000.0,4168693.834703355,-1.7,26.25,3000,234,True,True,True,1000000000.0,17
235,10000000.0,4168693.834703355,-1.7,26.25,3000,235,True,True,True,1000000000.0,17
236,10000000.0,4168693.834703355,-1.7,26.25,3000,236,True,True,True,1000000000.0,17
237,10000000.0,4168693.834703355,-1.7,26.25,3000,237,True,True,True,1000000000.0,17
238,10000000.0,4168693.834703355,-1.7,26.25,3000,238,True,True,True,1000000000.0,17
239,10000000.0,4168693.834703355,-1.7,26.25,3000,239,True,True,True,1000000000.0,17
240,10000000.0,4168693.834703355,-1.7,26.25,3000,240,True,True,True,1000000000.0,17
241,10000000.0,4168693.834703355,-1.7,26.25,3000,241,True,True,True,1000000000.0,17
242,10000000.0,4168693.834703355,-1.7,26.25,3000,242,True,True,True,1000000000.0,17
243,10000000.0,4168693.834703355,-1.7,26.25,3000,243,True,True,True,1000000000.0,17
244,10000000.0,4168693.834703355,-1.7,26.25,3000,244,True,True,True,1000000000.0,17
245,10000000.0,4168693.834703355,-1.7,26.25,3000,245,True,True,True,1000000000.0,17
246,10000000.0,4168693.834703355,-1.7,26.25,3000,246,True,True,True,1000000000.0,17
247,10000000.0,4168693.834703355,-1.7,26.25,3000,247,True,True,True,1000000000.0,17
248,10000000.0,4168693.834703355,-1.7,26.25,3000,248,True,True,True,1000000000.0,17
249,10000000.0,4168693.834703355,-1.7,26.25,3000,249,True,True,True,1000000000.0,17
250,10000000.0,4168693.834703355,-1.7,26.25,3000,250,True,True,True,1000000000.0,17
