task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo,clumps_seed,n_clumps
226,10000000.0,41686938.34703355,-1.7,26.25,3000,26,True,False,True,1000000000.0,7,True,15
227,10000000.0,41686938.34703355,-1.7,26.25,3000,27,True,False,True,1000000000.0,7,True,15
228,10000000.0,41686938.34703355,-1.7,26.25,3000,28,True,False,True,1000000000.0,7,True,15
229,10000000.0,41686938.34703355,-1.7,26.25,3000,29,True,False,True,1000000000.0,7,True,15
230,10000000.0,41686938.34703355,-1.7,26.25,3000,30,True,False,True,1000000000.0,7,True,15
231,10000000.0,41686938.34703355,-1.7,26.25,3000,31,True,False,True,1000000000.0,7,True,15
232,10000000.0,41686938.34703355,-1.7,26.25,3000,32,True,False,True,1000000000.0,7,True,15
233,10000000.0,41686938.34703355,-1.7,26.25,3000,33,True,False,True,1000000000.0,7,True,15
234,10000000.0,41686938.34703355,-1.7,26.25,3000,34,True,False,True,1000000000.0,7,True,15
235,10000000.0,41686938.34703355,-1.7,26.25,3000,35,True,False,True,1000000000.0,7,True,15
236,10000000.0,41686938.34703355,-1.7,26.25,3000,36,True,False,True,1000000000.0,7,True,15
237,10000000.0,41686938.34703355,-1.7,26.25,3000,37,True,False,True,1000000000.0,7,True,15
238,10000000.0,41686938.34703355,-1.7,26.25,3000,38,True,False,True,1000000000.0,7,True,15
239,10000000.0,41686938.34703355,-1.7,26.25,3000,39,True,False,True,1000000000.0,7,True,15
240,10000000.0,41686938.34703355,-1.7,26.25,3000,40,True,False,True,1000000000.0,7,True,15
241,10000000.0,41686938.34703355,-1.7,26.25,3000,41,True,False,True,1000000000.0,7,True,15
242,10000000.0,41686938.34703355,-1.7,26.25,3000,42,True,False,True,1000000000.0,7,True,15
243,10000000.0,41686938.34703355,-1.7,26.25,3000,43,True,False,True,1000000000.0,7,True,15
244,10000000.0,41686938.34703355,-1.7,26.25,3000,44,True,False,True,1000000000.0,7,True,15
245,10000000.0,41686938.34703355,-1.7,26.25,3000,45,True,False,True,1000000000.0,7,True,15
246,10000000.0,41686938.34703355,-1.7,26.25,3000,46,True,False,True,1000000000.0,7,True,15
247,10000000.0,41686938.34703355,-1.7,26.25,3000,47,True,False,True,1000000000.0,7,True,15
248,10000000.0,41686938.34703355,-1.7,26.25,3000,48,True,False,True,1000000000.0,7,True,15
249,10000000.0,41686938.34703355,-1.7,26.25,3000,49,True,False,True,1000000000.0,7,True,15
250,10000000.0,41686938.34703355,-1.7,26.25,3000,50,True,False,True,1000000000.0,7,True,15
251,10000000.0,41686938.34703355,-1.7,26.25,3000,51,True,False,True,1000000000.0,7,True,15
252,10000000.0,41686938.34703355,-1.7,26.25,3000,52,True,False,True,1000000000.0,7,True,15
253,10000000.0,41686938.34703355,-1.7,26.25,3000,53,True,False,True,1000000000.0,7,True,15
254,10000000.0,41686938.34703355,-1.7,26.25,3000,54,True,False,True,1000000000.0,7,True,15
255,10000000.0,41686938.34703355,-1.7,26.25,3000,55,True,False,True,1000000000.0,7,True,15
256,10000000.0,41686938.34703355,-1.7,26.25,3000,56,True,False,True,1000000000.0,7,True,15
257,10000000.0,41686938.34703355,-1.7,26.25,3000,57,True,False,True,1000000000.0,7,True,15
258,10000000.0,41686938.34703355,-1.7,26.25,3000,58,True,False,True,1000000000.0,7,True,15
259,10000000.0,41686938.34703355,-1.7,26.25,3000,59,True,False,True,1000000000.0,7,True,15
260,10000000.0,41686938.34703355,-1.7,26.25,3000,60,True,False,True,1000000000.0,7,True,15
261,10000000.0,41686938.34703355,-1.7,26.25,3000,61,True,False,True,1000000000.0,7,True,15
262,10000000.0,41686938.34703355,-1.7,26.25,3000,62,True,False,True,1000000000.0,7,True,15
263,10000000.0,41686938.34703355,-1.7,26.25,3000,63,True,False,True,1000000000.0,7,True,15
264,10000000.0,41686938.34703355,-1.7,26.25,3000,64,True,False,True,1000000000.0,7,True,15
265,10000000.0,41686938.34703355,-1.7,26.25,3000,65,True,False,True,1000000000.0,7,True,15
266,10000000.0,41686938.34703355,-1.7,26.25,3000,66,True,False,True,1000000000.0,7,True,15
267,10000000.0,41686938.34703355,-1.7,26.25,3000,67,True,False,True,1000000000.0,7,True,15
268,10000000.0,41686938.34703355,-1.7,26.25,3000,68,True,False,True,1000000000.0,7,True,15
269,10000000.0,41686938.34703355,-1.7,26.25,3000,69,True,False,True,1000000000.0,7,True,15
270,10000000.0,41686938.34703355,-1.7,26.25,3000,70,True,False,True,1000000000.0,7,True,15
271,10000000.0,41686938.34703355,-1.7,26.25,3000,71,True,False,True,1000000000.0,7,True,15
272,10000000.0,41686938.34703355,-1.7,26.25,3000,72,True,False,True,1000000000.0,7,True,15
273,10000000.0,41686938.34703355,-1.7,26.25,3000,73,True,False,True,1000000000.0,7,True,15
274,10000000.0,41686938.34703355,-1.7,26.25,3000,74,True,False,True,1000000000.0,7,True,15
275,10000000.0,41686938.34703355,-1.7,26.25,3000,75,True,False,True,1000000000.0,7,True,15
276,10000000.0,41686938.34703355,-1.7,26.25,3000,76,True,False,True,1000000000.0,7,True,15
277,10000000.0,41686938.34703355,-1.7,26.25,3000,77,True,False,True,1000000000.0,7,True,15
278,10000000.0,41686938.34703355,-1.7,26.25,3000,78,True,False,True,1000000000.0,7,True,15
279,10000000.0,41686938.34703355,-1.7,26.25,3000,79,True,False,True,1000000000.0,7,True,15
