task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
280,10000000.0,416869.3834703355,-1.7,26.25,3000,56,False,False,False,1000000000.0,17
281,10000000.0,416869.3834703355,-1.7,26.25,3000,57,False,False,False,1000000000.0,5
282,10000000.0,416869.3834703355,-1.7,26.25,3000,57,False,False,False,1000000000.0,7
283,10000000.0,416869.3834703355,-1.7,26.25,3000,57,False,False,False,1000000000.0,9
284,10000000.0,416869.3834703355,-1.7,26.25,3000,57,False,False,False,1000000000.0,12
285,10000000.0,416869.3834703355,-1.7,26.25,3000,57,False,False,False,1000000000.0,17
286,10000000.0,416869.3834703355,-1.7,26.25,3000,58,False,False,False,1000000000.0,5
287,10000000.0,416869.3834703355,-1.7,26.25,3000,58,False,False,False,1000000000.0,7
288,10000000.0,416869.3834703355,-1.7,26.25,3000,58,False,False,False,1000000000.0,9
289,10000000.0,416869.3834703355,-1.7,26.25,3000,58,False,False,False,1000000000.0,12
290,10000000.0,416869.3834703355,-1.7,26.25,3000,58,False,False,False,1000000000.0,17
291,10000000.0,416869.3834703355,-1.7,26.25,3000,59,False,False,False,1000000000.0,5
292,10000000.0,416869.3834703355,-1.7,26.25,3000,59,False,False,False,1000000000.0,7
293,10000000.0,416869.3834703355,-1.7,26.25,3000,59,False,False,False,1000000000.0,9
294,10000000.0,416869.3834703355,-1.7,26.25,3000,59,False,False,False,1000000000.0,12
295,10000000.0,416869.3834703355,-1.7,26.25,3000,59,False,False,False,1000000000.0,17
296,10000000.0,416869.3834703355,-1.7,26.25,3000,60,False,False,False,1000000000.0,5
297,10000000.0,416869.3834703355,-1.7,26.25,3000,60,False,False,False,1000000000.0,7
298,10000000.0,416869.3834703355,-1.7,26.25,3000,60,False,False,False,1000000000.0,9
299,10000000.0,416869.3834703355,-1.7,26.25,3000,60,False,False,False,1000000000.0,12
300,10000000.0,416869.3834703355,-1.7,26.25,3000,60,False,False,False,1000000000.0,17
301,10000000.0,416869.3834703355,-1.7,26.25,3000,61,False,False,False,1000000000.0,5
302,10000000.0,416869.3834703355,-1.7,26.25,3000,61,False,False,False,1000000000.0,7
303,10000000.0,416869.3834703355,-1.7,26.25,3000,61,False,False,False,1000000000.0,9
304,10000000.0,416869.3834703355,-1.7,26.25,3000,61,False,False,False,1000000000.0,12
305,10000000.0,416869.3834703355,-1.7,26.25,3000,61,False,False,False,1000000000.0,17
