task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,chattopadhyay_seed,galpy_potential,M_vir,c_halo
181,10000000.0,4168693.834703355,-1.7,26.25,3000,81,False,False,False,1000000000.0,7
182,10000000.0,4168693.834703355,-1.7,26.25,3000,82,False,False,False,1000000000.0,7
183,10000000.0,4168693.834703355,-1.7,26.25,3000,83,False,False,False,1000000000.0,7
184,10000000.0,4168693.834703355,-1.7,26.25,3000,84,False,False,False,1000000000.0,7
185,10000000.0,4168693.834703355,-1.7,26.25,3000,85,False,False,False,1000000000.0,7
186,10000000.0,4168693.834703355,-1.7,26.25,3000,86,False,False,False,1000000000.0,7
187,10000000.0,4168693.834703355,-1.7,26.25,3000,87,False,False,False,1000000000.0,7
188,10000000.0,4168693.834703355,-1.7,26.25,3000,88,False,False,False,1000000000.0,7
189,10000000.0,4168693.834703355,-1.7,26.25,3000,89,False,False,False,1000000000.0,7
190,10000000.0,4168693.834703355,-1.7,26.25,3000,90,False,False,False,1000000000.0,7
191,10000000.0,4168693.834703355,-1.7,26.25,3000,91,False,False,False,1000000000.0,7
192,10000000.0,4168693.834703355,-1.7,26.25,3000,92,False,False,False,1000000000.0,7
193,10000000.0,4168693.834703355,-1.7,26.25,3000,93,False,False,False,1000000000.0,7
194,10000000.0,4168693.834703355,-1.7,26.25,3000,94,False,False,False,1000000000.0,7
195,10000000.0,4168693.834703355,-1.7,26.25,3000,95,False,False,False,1000000000.0,7
196,10000000.0,4168693.834703355,-1.7,26.25,3000,96,False,False,False,1000000000.0,7
197,10000000.0,4168693.834703355,-1.7,26.25,3000,97,False,False,False,1000000000.0,7
198,10000000.0,4168693.834703355,-1.7,26.25,3000,98,False,False,False,1000000000.0,7
199,10000000.0,4168693.834703355,-1.7,26.25,3000,99,False,False,False,1000000000.0,7
200,10000000.0,4168693.834703355,-1.7,26.25,3000,100,False,False,False,1000000000.0,7
201,10000000.0,13182567.385564074,-1.7,26.25,3000,1,False,False,False,1000000000.0,7
202,10000000.0,13182567.385564074,-1.7,26.25,3000,2,False,False,False,1000000000.0,7
203,10000000.0,13182567.385564074,-1.7,26.25,3000,3,False,False,False,1000000000.0,7
204,10000000.0,13182567.385564074,-1.7,26.25,3000,4,False,False,False,1000000000.0,7
205,10000000.0,13182567.385564074,-1.7,26.25,3000,5,False,False,False,1000000000.0,7
206,10000000.0,13182567.385564074,-1.7,26.25,3000,6,False,False,False,1000000000.0,7
207,10000000.0,13182567.385564074,-1.7,26.25,3000,7,False,False,False,1000000000.0,7
208,10000000.0,13182567.385564074,-1.7,26.25,3000,8,False,False,False,1000000000.0,7
209,10000000.0,13182567.385564074,-1.7,26.25,3000,9,False,False,False,1000000000.0,7
210,10000000.0,13182567.385564074,-1.7,26.25,3000,10,False,False,False,1000000000.0,7
211,10000000.0,13182567.385564074,-1.7,26.25,3000,11,False,False,False,1000000000.0,7
212,10000000.0,13182567.385564074,-1.7,26.25,3000,12,False,False,False,1000000000.0,7
213,10000000.0,13182567.385564074,-1.7,26.25,3000,13,False,False,False,1000000000.0,7
214,10000000.0,13182567.385564074,-1.7,26.25,3000,14,False,False,False,1000000000.0,7
215,10000000.0,13182567.385564074,-1.7,26.25,3000,15,False,False,False,1000000000.0,7
216,10000000.0,13182567.385564074,-1.7,26.25,3000,16,False,False,False,1000000000.0,7
217,10000000.0,13182567.385564074,-1.7,26.25,3000,17,False,False,False,1000000000.0,7
218,10000000.0,13182567.385564074,-1.7,26.25,3000,18,False,False,False,1000000000.0,7
219,10000000.0,13182567.385564074,-1.7,26.25,3000,19,False,False,False,1000000000.0,7
220,10000000.0,13182567.385564074,-1.7,26.25,3000,20,False,False,False,1000000000.0,7
221,10000000.0,13182567.385564074,-1.7,26.25,3000,21,False,False,False,1000000000.0,7
222,10000000.0,13182567.385564074,-1.7,26.25,3000,22,False,False,False,1000000000.0,7
223,10000000.0,13182567.385564074,-1.7,26.25,3000,23,False,False,False,1000000000.0,7
224,10000000.0,13182567.385564074,-1.7,26.25,3000,24,False,False,False,1000000000.0,7
225,10000000.0,13182567.385564074,-1.7,26.25,3000,25,False,False,False,1000000000.0,7
226,10000000.0,13182567.385564074,-1.7,26.25,3000,26,False,False,False,1000000000.0,7
227,10000000.0,13182567.385564074,-1.7,26.25,3000,27,False,False,False,1000000000.0,7
228,10000000.0,13182567.385564074,-1.7,26.25,3000,28,False,False,False,1000000000.0,7
229,10000000.0,13182567.385564074,-1.7,26.25,3000,29,False,False,False,1000000000.0,7
230,10000000.0,13182567.385564074,-1.7,26.25,3000,30,False,False,False,1000000000.0,7
231,10000000.0,13182567.385564074,-1.7,26.25,3000,31,False,False,False,1000000000.0,7
232,10000000.0,13182567.385564074,-1.7,26.25,3000,32,False,False,False,1000000000.0,7
233,10000000.0,13182567.385564074,-1.7,26.25,3000,33,False,False,False,1000000000.0,7
234,10000000.0,13182567.385564074,-1.7,26.25,3000,34,False,False,False,1000000000.0,7
235,10000000.0,13182567.385564074,-1.7,26.25,3000,35,False,False,False,1000000000.0,7
236,10000000.0,13182567.385564074,-1.7,26.25,3000,36,False,False,False,1000000000.0,7
237,10000000.0,13182567.385564074,-1.7,26.25,3000,37,False,False,False,1000000000.0,7
238,10000000.0,13182567.385564074,-1.7,26.25,3000,38,False,False,False,1000000000.0,7
239,10000000.0,13182567.385564074,-1.7,26.25,3000,39,False,False,False,1000000000.0,7
240,10000000.0,13182567.385564074,-1.7,26.25,3000,40,False,False,False,1000000000.0,7
241,10000000.0,13182567.385564074,-1.7,26.25,3000,41,False,False,False,1000000000.0,7
242,10000000.0,13182567.385564074,-1.7,26.25,3000,42,False,False,False,1000000000.0,7
243,10000000.0,13182567.385564074,-1.7,26.25,3000,43,False,False,False,1000000000.0,7
244,10000000.0,13182567.385564074,-1.7,26.25,3000,44,False,False,False,1000000000.0,7
245,10000000.0,13182567.385564074,-1.7,26.25,3000,45,False,False,False,1000000000.0,7
246,10000000.0,13182567.385564074,-1.7,26.25,3000,46,False,False,False,1000000000.0,7
247,10000000.0,13182567.385564074,-1.7,26.25,3000,47,False,False,False,1000000000.0,7
248,10000000.0,13182567.385564074,-1.7,26.25,3000,48,False,False,False,1000000000.0,7
249,10000000.0,13182567.385564074,-1.7,26.25,3000,49,False,False,False,1000000000.0,7
250,10000000.0,13182567.385564074,-1.7,26.25,3000,50,False,False,False,1000000000.0,7
251,10000000.0,13182567.385564074,-1.7,26.25,3000,51,False,False,False,1000000000.0,7
252,10000000.0,13182567.385564074,-1.7,26.25,3000,52,False,False,False,1000000000.0,7
253,10000000.0,13182567.385564074,-1.7,26.25,3000,53,False,False,False,1000000000.0,7
254,10000000.0,13182567.385564074,-1.7,26.25,3000,54,False,False,False,1000000000.0,7
255,10000000.0,13182567.385564074,-1.7,26.25,3000,55,False,False,False,1000000000.0,7
256,10000000.0,13182567.385564074,-1.7,26.25,3000,56,False,False,False,1000000000.0,7
257,10000000.0,13182567.385564074,-1.7,26.25,3000,57,False,False,False,1000000000.0,7
258,10000000.0,13182567.385564074,-1.7,26.25,3000,58,False,False,False,1000000000.0,7
259,10000000.0,13182567.385564074,-1.7,26.25,3000,59,False,False,False,1000000000.0,7
260,10000000.0,13182567.385564074,-1.7,26.25,3000,60,False,False,False,1000000000.0,7
261,10000000.0,13182567.385564074,-1.7,26.25,3000,61,False,False,False,1000000000.0,7
262,10000000.0,13182567.385564074,-1.7,26.25,3000,62,False,False,False,1000000000.0,7
263,10000000.0,13182567.385564074,-1.7,26.25,3000,63,False,False,False,1000000000.0,7
264,10000000.0,13182567.385564074,-1.7,26.25,3000,64,False,False,False,1000000000.0,7
265,10000000.0,13182567.385564074,-1.7,26.25,3000,65,False,False,False,1000000000.0,7
266,10000000.0,13182567.385564074,-1.7,26.25,3000,66,False,False,False,1000000000.0,7
267,10000000.0,13182567.385564074,-1.7,26.25,3000,67,False,False,False,1000000000.0,7
268,10000000.0,13182567.385564074,-1.7,26.25,3000,68,False,False,False,1000000000.0,7
269,10000000.0,13182567.385564074,-1.7,26.25,3000,69,False,False,False,1000000000.0,7
270,10000000.0,13182567.385564074,-1.7,26.25,3000,70,False,False,False,1000000000.0,7
271,10000000.0,13182567.385564074,-1.7,26.25,3000,71,False,False,False,1000000000.0,7
272,10000000.0,13182567.385564074,-1.7,26.25,3000,72,False,False,False,1000000000.0,7
273,10000000.0,13182567.385564074,-1.7,26.25,3000,73,False,False,False,1000000000.0,7
274,10000000.0,13182567.385564074,-1.7,26.25,3000,74,False,False,False,1000000000.0,7
275,10000000.0,13182567.385564074,-1.7,26.25,3000,75,False,False,False,1000000000.0,7
276,10000000.0,13182567.385564074,-1.7,26.25,3000,76,False,False,False,1000000000.0,7
277,10000000.0,13182567.385564074,-1.7,26.25,3000,77,False,False,False,1000000000.0,7
